"mins","seconds","result","replicate","sample_id"
1,60,3.230290227,2,"1-320-196-dup3"
1,60,3.059341268,3,"1-320-196-dup3"
1,60,2.35841,0,"1-320-197"
1,60,2.42617,1,"1-320-197"
1,60,2.259247,2,"1-320-197"
1,60,2.350146,3,"1-320-197"
1,60,1.737216754,0,"1-320-197-dup"
1,60,1.673838407,1,"1-320-197-dup"
1,60,1.691714351,2,"1-320-197-dup"
1,60,1.683588922,3,"1-320-197-dup"
1,60,2.978174,0,"1-320-198"
1,60,2.933551,1,"1-320-198"
1,60,3.145097,2,"1-320-198"
1,60,3.23269,3,"1-320-198"
1,60,2.388876173,0,"1-320-198-dup"
1,60,2.486381323,1,"1-320-198-dup"
1,60,2.414877546,2,"1-320-198-dup"
1,60,2.333623255,3,"1-320-198-dup"
1,60,2.684921,0,"1-320-199"
1,60,2.546738,1,"1-320-199"
1,60,2.601369,2,"1-320-199"
1,60,2.36678,3,"1-320-199"
1,60,2.604582,0,"1-320-200"
1,60,2.635111,1,"1-320-200"
1,60,2.609403,2,"1-320-200"
1,60,2.651179,3,"1-320-200"
1,60,3.134818,0,"1-320-201"
1,60,3.202303,1,"1-320-201"
1,60,3.129998,2,"1-320-201"
1,60,3.052873,3,"1-320-201"
1,60,2.61246,0,"1-320-201-dup"
